etf,roic_symbol,company_name,weight_normalized,exchange,country,mapping_status,fundamental_currency,price_currency,fiscal_year,fiscal_year_end,price_date,price,net_income,minority_interest,preferred_dividends,earnings_for_common,diluted_shares,diluted_eps,equity_total,minority_equity,preferred_equity,common_equity,common_equity_prior,common_equity_average,dividends_paid,buybacks_gross,share_issuance,buybacks_net,dividend_adjustment,buyback_adjustment,dividends_final,buybacks_final,dividend_per_share,buyback_gross_per_share,buyback_net_per_share,roe,roe_method,earnings_yield,dividend_yield,gross_buyback_yield,net_buyback_yield,gross_shareholder_yield,net_shareholder_yield,quality,tags,notes
SCHY,ASX:BHP,BHP Group Ltd,5.094693902118086,ASX,AU,mapped,AUD,AUD,2025,2025-06-30,2026-07-24,58.85,13703468600,-3227205600,,13703468600,5083000000,2.6959410977769034,79340029200,9101206000,,61137617200,,61137617200,9728718200,,,,0.0,0.0,9728718200,,1.913971709620303,,,0.22414135891445897,ending_common_equity_fallback,0.04581038398941212,0.03252288376585052,,,0.03252288376585052,0.03252288376585052,WARNING,ENDING_EQUITY_FALLBACK;MISSING_BUYBACK,
SCHY,TSE:4528,Ono Pharmaceutical Co Ltd,4.323903311404038,TSE,JP,manual,JPY,JPY,2026,2026-03-31,2026-07-27,2439.5,69767000000,-144000000,,69767000000,469768000,148.5137344391274,856644000000,5917000000,,844810000000,776700000000,810755000000.0,37532000000,1000000,,1000000,0.0,0.0,37532000000,1000000,79.89475656068528,0.002128710342126326,0.002128710342126326,0.08605188990508847,average_common_equity,0.06087875976188867,0.032750463849430325,8.72601083060597e-07,8.72601083060597e-07,0.03275133645051338,0.03275133645051338,OK,,
SCHY,LSE:GSK,GSK PLC,4.20072152002133,LSE,GB,mapped,GBP,GBX,2025,2025-12-31,2026-07-24,19.195,5716000000,-573000000,,5716000000,4117000000,1.3883896040806412,15956000000,-421000000,,16798000000,14256000000,15527000000.0,2564000000,1377000000,15000000,1362000000,0.0,0.0,2564000000,1377000000,0.6227835802769006,0.3344668447898956,0.33082341510808844,0.3681329297352998,average_common_equity,0.07233079469031733,0.03244509404933059,0.017424685844745796,0.017234874452101506,0.049869779894076385,0.049679968501432095,OK,PRICE_UNIT_CONVERTED,
SCHY,EURONEXT:TTE,TotalEnergies SE,4.143249501641186,EURONEXT,FR,mapped,EUR,EUR,2025,2025-12-31,2026-07-24,75.9,11172389699.999998,-195752999.99999997,,11172389699.999998,2247773973,4.970423999121551,100023825299.99998,2246903999.9999995,,95530017299.99998,111500687700,103515352500.0,6911783099.999999,6565385399.999999,418741199.99999994,6146644199.999999,0.0,0.0,6911783099.999999,6565385399.999999,3.074945783260922,2.920838784887914,2.7345472782551874,0.10792978461818017,average_common_equity,0.06548648220186497,0.04051311967405694,0.03848272443857594,0.0360282908861026,0.07899584411263288,0.07654141056015953,OK,,
SCHY,MIL:ENEL,Enel SpA,4.048824494917676,MIL,IT,mapped,EUR,EUR,2025,2025-12-31,2026-07-24,9.927,4225000000,-1356000000,0,4225000000,10833333333,0.390000000012,46805000000,14737000000,,17331000000,18291000000,17811000000.0,5794000000,1947000000,,1947000000,0.0,0.0,5794000000,1947000000,0.5348307692472256,0.17972307692860687,0.17972307692860687,0.23721295828420638,average_common_equity,0.039286793594439415,0.05387637445826792,0.018104470326242256,0.018104470326242256,0.07198084478451018,0.07198084478451018,OK,,
SCHY,LSE:ULVR,Unilever PLC,3.820165872184109,LSE,GB,mapped,GBP,GBX,2025,2025-12-31,2026-07-24,45.755,8256976900.48173,-472624509.4583481,,8256976900.48173,2195300000,3.7612066234599966,15335880531.07743,1793705933.4978266,,11748468664.08178,14418704825.515171,13083586744.798475,3883020185.642111,1316721419.3396783,,1316721419.3396783,0.0,0.0,3883020185.642111,1316721419.3396783,1.7687879495477206,0.5997911079759842,0.5997911079759842,0.6310942910027622,average_common_equity,0.08220318267861428,0.03865780678718655,0.013108755501606036,0.013108755501606036,0.05176656228879258,0.05176656228879258,OK,PRICE_UNIT_CONVERTED,
SCHY,LSE:BATS,British American Tobacco PLC,3.7386397002637004,LSE,GB,mapped,GBP,GBX,2025,2025-12-31,2026-07-24,45.72,7764000000,-1000000,,7764000000,2199000000,3.530695770804911,48145000000,219000000,,47707000000,49291000000,48499000000.0,5238000000,1173000000,,1173000000,0.0,0.0,5238000000,1173000000,2.3819918144611187,0.5334242837653479,0.5334242837653479,0.16008577496443224,average_common_equity,0.07722431694673909,0.05209955849652491,0.011667197807641031,0.011667197807641031,0.06376675630416594,0.06376675630416594,OK,PRICE_UNIT_CONVERTED,
SCHY,XETR:DHL,Deutsche Post AG,3.7022866596286765,XETR,DE,mapped,EUR,EUR,2025,2025-12-31,2026-07-24,57.04,3501000000,-205000000,,3501000000,1150215795,3.04377666801211,22623000000,396000000,,21831000000,23376000000,22603500000.0,2123000000,1446000000,,1446000000,0.0,0.0,2123000000,1446000000,1.845740607309257,1.2571554018696118,1.2571554018696118,0.15488751741986861,average_common_equity,0.0533621435485994,0.03235870629925065,0.02203989133712503,0.02203989133712503,0.05439859763637568,0.05439859763637568,OK,,
SCHY,ASX:WES,Wesfarmers Ltd,3.651665840078395,ASX,AU,manual,AUD,AUD,2025,2025-06-30,2026-07-24,87.25,2926000000,,,2926000000,1134000000,2.580246913580247,9189000000,,,9189000000,,9189000000,2291000000,,,,0.0,0.0,2291000000,,2.0202821869488536,,,0.3184242028512352,ending_common_equity_fallback,0.029573030528140365,0.023155096698554197,,,0.023155096698554197,0.023155096698554197,WARNING,ENDING_EQUITY_FALLBACK;MISSING_BUYBACK,
SCHY,MIL:ENI,Eni SpA,3.3468952552213014,MIL,IT,mapped,EUR,EUR,2025,2025-12-31,2026-07-24,22.96,2608000000,-150000000,,2608000000,3088100000,0.8445322366503676,52787000000,4847000000,,43093000000,49922000000,46507500000.0,3080000000,1896000000,,1896000000,0.0,0.0,3080000000,1896000000,0.9973770279459861,0.6139697548654512,0.6139697548654512,0.05607697683169381,average_common_equity,0.03678276292031218,0.04343976602552204,0.026740842981944738,0.026740842981944738,0.07018060900746678,0.07018060900746678,OK,,
