etf,symbol,date,severity,tag,stage,message,metric_impact,recommended_action,status,resolved_at
SCHY,SWX:ROG,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /fundamental/income-statement/SWX:ROG: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No ticker matches the supplied identifier."",""param"":""identifier"",""request_id"":""req_57ddccbfa09ca724e6236dc19534cd0d""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
SCHY,EPA:DG,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /fundamental/income-statement/EPA:DG: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No ticker matches the supplied identifier."",""param"":""identifier"",""request_id"":""req_b9f54704ea02e1f8aef80714c55dc949""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
SCHY,EPA:ML,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /fundamental/income-statement/EPA:ML: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No ticker matches the supplied identifier."",""param"":""identifier"",""request_id"":""req_dab20f846338b4872b5692371b4af72b""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
SCHY,SWX:SCMN,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /fundamental/income-statement/SWX:SCMN: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No ticker matches the supplied identifier."",""param"":""identifier"",""request_id"":""req_711bf41cab8e357d0833561f2336fe54""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
SCHY,EURONEXT:KPN,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (Royal KPN NV) não combina com Koninklijke KPN NV.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,AMS:AD,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /fundamental/income-statement/AMS:AD: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No ticker matches the supplied identifier."",""param"":""identifier"",""request_id"":""req_74a1b27d6a6358e038e5e8457f2cb2f2""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
SCHY,ASX:TRA,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (Turners Automotive Group Ltd) não combina com Telstra Group Ltd.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,STU:AXA,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,País do ticker (DE) diferente do país do ETF (FR).,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,NYSE:BANC,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,País do ticker (US) diferente do país do ETF (CA).,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,SWX:KNIN,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /fundamental/income-statement/SWX:KNIN: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No ticker matches the supplied identifier."",""param"":""identifier"",""request_id"":""req_3526354f28d0f52cdda84b384d409bdd""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
SCHY,BME:END,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (Endurance Motive SA) não combina com Endesa SA.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,TSXV:MANU,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (Manhattan Uranium Discovery Corporation) não combina com Manulife Financial Corp.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,BIT:G,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /fundamental/income-statement/BIT:G: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No ticker matches the supplied identifier."",""param"":""identifier"",""request_id"":""req_0362a6badbb81184399a38a1171c99e2""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
SCHY,SET:PTT,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,"Nome do ticker (PTT Public Co., Ltd.) não combina com PTT Exploration & Production PCL.",todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,TSXV:SUN,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (Stardust Solar Energy Inc.) não combina com Sun Life Financial Inc.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,BME:NAT,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (Natac Natural Ingredients SA) não combina com Naturgy Energy Group SA.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,TSX:QBR/B,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /fundamental/income-statement/TSX:QBR/B: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No v3 route matches this request."",""request_id"":""req_4182c5ca665604532f1d1d4300ba7c60""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
SCHY,JSE:BID,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (Bid Corporation Limited) não combina com Bidvest Group Ltd.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,LSE:HYUD,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /stock-prices/latest/LSE:HYUD: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No stock price is available for the supplied identifier."",""param"":""identifier"",""request_id"":""req_7563c61fde4ba97058d98ceb1325ddda""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
